instance,method,goals_visited,path_length,num_points,runtime,valid
instance_081,annealing,0,0.0,0,0.0037,0
instance_081,hybrid,5,1848.993,7,0.0005,1
instance_082,greedy,4,1921.539,6,0.0001,1
instance_082,beam,4,1921.539,6,0.0003,1
instance_082,local,4,1921.539,6,0.0002,1
instance_082,annealing,0,0.0,0,0.0016,0
instance_079,annealing,0,0.0,0,0.0162,0
instance_082,hybrid,4,1921.539,6,0.0002,1
instance_083,greedy,0,955.96,2,0.0,1
instance_083,beam,1,1918.791,3,0.0001,1
instance_083,local,0,955.96,2,0.0,1
instance_083,hybrid,0,955.96,2,0.0,1
instance_084,greedy,0,379.353,2,0.0002,1
instance_084,annealing,0,0.0,0,0.0002,0
instance_084,beam,6,1915.505,8,0.0011,1
instance_084,hybrid,0,379.353,2,0.0001,1
instance_085,greedy,8,1843.908,10,0.0007,1
instance_084,local,0,379.353,2,0.0001,1
instance_085,beam,8,1843.908,10,0.0104,1
instance_085,local,8,1839.095,10,0.0052,1
instance_073,beam,5,1997.3,7,0.0734,1
instance_086,greedy,1,1980.553,3,0.0001,1
instance_086,beam,6,1909.409,8,0.0014,1
instance_086,annealing,0,0.0,0,0.0003,0
instance_086,local,1,1980.553,3,0.0001,1
instance_086,hybrid,1,1980.553,3,0.0001,1
instance_087,greedy,0,357.61,2,0.0001,1
instance_087,beam,0,357.61,2,0.0001,1
instance_085,hybrid,8,1839.095,10,0.0115,1
instance_087,local,0,357.61,2,0.0001,1
instance_087,hybrid,0,357.61,2,0.0001,1
instance_088,greedy,4,1855.366,6,0.0003,1
instance_088,beam,5,1977.341,7,0.0019,1
instance_083,annealing,0,955.96,2,0.054,1
instance_088,local,4,1855.366,6,0.0004,1
instance_088,hybrid,4,1855.366,6,0.0004,1
instance_089,greedy,1,1795.38,3,0.0001,1
instance_089,beam,4,1863.935,6,0.0005,1
instance_089,annealing,0,0.0,0,0.0001,0
instance_089,local,1,1795.38,3,0.0001,1
instance_089,hybrid,1,1795.38,3,0.0001,1
instance_090,greedy,0,938.566,2,0.0007,1
instance_090,beam,8,1609.461,10,0.0151,1
instance_090,annealing,0,0.0,0,0.001,0
instance_090,local,0,938.566,2,0.0008,1
instance_090,hybrid,0,938.566,2,0.0008,1
instance_063,annealing,13,1991.657,14,0.358,0
instance_091,beam,8,1993.098,10,0.0025,1
instance_091,annealing,0,0.0,0,0.0003,0
instance_087,annealing,0,357.61,2,0.0958,1
instance_091,local,2,1957.093,4,0.0002,1
instance_091,hybrid,2,1957.093,4,0.0002,1
instance_092,greedy,1,1759.95,3,0.0001,1
instance_092,annealing,0,0.0,0,0.0001,0
instance_092,local,1,1759.95,3,0.0001,1
instance_092,beam,3,1999.866,5,0.0004,1
instance_092,hybrid,1,1759.95,3,0.0001,1
instance_091,greedy,2,1957.093,4,0.0002,1
instance_093,greedy,11,1817.515,13,0.007,1
instance_093,beam,11,1817.515,13,0.0164,1
instance_093,local,11,1817.515,13,0.0111,1
instance_094,greedy,9,1987.666,11,0.0012,1
instance_093,hybrid,11,1817.515,13,0.0099,1
instance_094,beam,9,1987.666,11,0.0126,1
instance_094,local,9,1987.666,11,0.0017,1
instance_094,hybrid,9,1987.666,11,0.0013,1
instance_095,greedy,4,1910.202,6,0.0003,1
instance_095,beam,10,1999.214,12,0.0149,1
instance_095,annealing,0,0.0,0,0.0039,0
instance_095,local,4,1910.202,6,0.0003,1
instance_095,hybrid,4,1910.202,6,0.0003,1
instance_096,greedy,0,439.21,2,0.0012,1
instance_096,beam,11,1937.753,13,0.0131,1
instance_096,annealing,0,0.0,0,0.0013,0
instance_096,local,0,439.21,2,0.0014,1
instance_096,hybrid,0,439.21,2,0.0012,1
instance_097,greedy,7,1359.779,9,0.0002,1
instance_097,beam,6,1087.824,8,0.0008,1
instance_097,annealing,7,1359.779,9,0.1078,1
instance_097,local,7,1359.779,9,0.0013,1
instance_097,hybrid,7,1359.779,9,0.0016,1
instance_098,greedy,6,715.592,8,0.0007,1
instance_098,beam,6,715.592,8,0.0014,1
instance_094,annealing,9,1987.666,11,0.2338,1
instance_098,local,6,715.592,8,0.0012,1
instance_098,hybrid,6,715.592,8,0.0012,1
instance_099,greedy,0,1796.051,2,0.0,1
instance_099,beam,0,1796.051,2,0.0001,1
instance_085,annealing,11,1572.879,12,0.3847,0
instance_099,local,0,1796.051,2,0.0001,1
instance_099,hybrid,0,1796.051,2,0.0,1
instance_100,greedy,0,1895.046,2,0.0,1
instance_100,beam,0,1895.046,2,0.0001,1
instance_098,annealing,6,715.592,8,0.1146,1
instance_100,local,0,1895.046,2,0.0,1
instance_100,hybrid,0,1895.046,2,0.0001,1
instance_088,annealing,14,1769.794,15,0.4263,0
instance_100,annealing,0,1895.046,2,0.0689,1
instance_099,annealing,0,1796.051,2,0.0783,1
instance_053,annealing,18,1612.32,19,0.9433,0
instance_093,annealing,12,1763.346,13,0.3655,0
instance_069,annealing,22,1990.884,23,0.7318,0
instance_073,annealing,21,1932.023,22,0.6755,0
